"facility.id","year","facility.name","city","state","zip","region","census","n.discharge","cost.charge.ratio","wage.index","rural","dsh","ownership","teaching","teaching.yn","freestanding","population.severity","bedsores.v1","bedsores.v2","cauti","readmit30","falls","cdi","home","pt.flu","functional","hc.flu","mspb","cauti.grade","readmit30.grade","cdi.grade","home.grade","cauti.good","readmit30.good","cdi.good","home.good"
"10092",2018,"NORTHPORT MEDICAL CENTER","TUSCALOOSA","AL","35401","4",5,462,0.4,0.76,0,0.1,"G",0,0,0,1.3,NA,0.8,2.63,NA,0.4,1.08,56.77,NA,99.6,NA,1.03,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Worse than the National Rate",0,NA,0,0
"10100",2018,"THOMAS HOSPITAL","FAIRHOPE","AL","36532","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10104",2016,"GRANDVIEW MEDICAL CENTER","BIRMINGHAM","AL","35243","4",5,152,0.26,0.82,0,0.05,"P",0,0,0,1.24,1.1,NA,NA,14.52,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"10104",2017,"GRANDVIEW MEDICAL CENTER","BIRMINGHAM","AL","35243","4",5,132,0.26,0.82,0,0.02,"P",0,0,0,1.24,0,NA,NA,14.37,NA,1.26,NA,99.3,NA,94,NA,NA,"Worse than the National Rate","No Different than the National Benchmark",NA,NA,0,0,NA
"10104",2018,"GRANDVIEW MEDICAL CENTER","BIRMINGHAM","AL","35243","4",5,228,0.25,0.81,0,0.05,"P",0,0,0,1.19,NA,0,NA,NA,0.3,1.49,71.45,NA,100,NA,1.02,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"10113",2016,"MOBILE INFIRMARY","MOBILE","AL","36652","4",5,361,0.45,0.75,0,0.06,"N",0,0,0,1.34,0.5,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"10113",2017,"MOBILE INFIRMARY","MOBILE","AL","36652","4",5,263,0.46,0.73,0,0.06,"N",0,0,0,1.33,NA,NA,NA,13.91,NA,2.24,NA,NA,NA,4,NA,NA,"Worse than the National Rate","No Different than the National Benchmark",NA,NA,0,0,NA
"10113",2018,"MOBILE INFIRMARY","MOBILE","AL","36652","4",5,291,0.43,0.75,0,0.07,"N",0,0,0,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10114",2016,"MEDICAL WEST REHAB UNIT","BESSEMER","AL","35022","4",5,107,0.3,0.82,0,0.07,"G",0,0,0,1.33,0,NA,NA,14.04,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"10114",2017,"MEDICAL WEST REHAB UNIT","BESSEMER","AL","35022","4",5,112,0.29,0.82,0,0.09,"G",0,0,0,1.21,0.4,NA,NA,14.63,NA,0,NA,98.4,NA,48,NA,NA,"Worse than the National Rate","No Different than the National Benchmark",NA,NA,0,0,NA
"10114",2018,"MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","BESSEMER","AL","35022","4",5,104,0.28,0.81,0,0.2,"G",0,0,0,1.22,NA,0.4,NA,NA,0,0.74,67.44,NA,100,NA,1.03,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"10139",2016,"AMI BROOKWOOD MEDICAL CENTER","HOMEWOOD","AL","35209","4",5,267,0.18,0.82,0,0.05,"P",0,0,0,1.24,0,NA,NA,13.39,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"10139",2017,"AMI BROOKWOOD MEDICAL CENTER","HOMEWOOD","AL","35209","4",5,356,0.17,0.82,0,0.04,"P",0,0,0,1.24,0.3,NA,NA,14.14,NA,1.29,NA,97.3,NA,61,NA,NA,"Worse than the National Rate","No Different than the National Benchmark",NA,NA,0,0,NA
"10139",2018,"AMI BROOKWOOD MEDICAL CENTER","HOMEWOOD","AL","35209","4",5,394,0.17,0.81,0,0.01,"P",0,0,0,1.24,NA,0.2,NA,NA,0,0.84,64.91,NA,100,NA,1.01,NA,NA,"No Different than the National Benchmark","No Different than the National Rate",NA,NA,0,0
"10144",2016,"SPRINGHILL MEDICAL CENTER","MOBILE","AL","36608","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10144",2017,"SPRINGHILL MEDICAL CENTER","MOBILE","AL","36608","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,97.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10144",2018,"SPRINGHILL MEDICAL CENTER","MOBILE","AL","36608","4",5,74,0.42,0.75,0,0,"P",0,0,0,1.17,NA,0.3,NA,NA,0.5,0,64.02,NA,100,NA,0.99,NA,NA,"No Different than the National Benchmark","Worse than the National Rate",NA,NA,0,0
"10157",2016,"JW SOMMER REHABILITATION UNIT","MUSCLE SHOALS","AL","35661","4",5,575,0.27,0.76,0,0.05,"G",0,0,0,1.26,3.8,NA,NA,12.86,NA,NA,NA,NA,NA,NA,NA,NA,"No Different than the National Rate",NA,NA,NA,0,NA,NA
"10157",2017,"JW SOMMER REHABILITATION UNIT","MUSCLE SHOALS","AL","35661","4",5,568,0.29,0.68,0,0.06,"G",0,0,0,1.29,1.6,NA,0.97,13.68,NA,1.55,NA,99.1,NA,93,NA,"No Different than the National Benchmark","Worse than the National Rate","No Different than the National Benchmark",NA,0,0,0,NA
"10157",2018,"JW SOMMER REHABILITATION UNIT","MUSCLE SHOALS","AL","35661","4",5,589,0.29,0.69,0,0.04,"G",0,0,0,1.25,NA,0.5,0.82,NA,0.2,1.5,61.61,NA,100,NA,1,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Worse than the National Rate",0,NA,0,0
"13025",2016,"HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","BIRMINGHAM","AL","35209","4",5,1877,0.47,0.82,0,0.05,"G",0,0,1,1.38,0.6,NA,NA,13.67,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"13025",2017,"HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","BIRMINGHAM","AL","35209","4",5,1856,0.48,0.82,0,0.07,"G",0,0,1,1.33,0.3,NA,0.6,NA,NA,1.39,NA,78,NA,73,NA,"No Different than the National Benchmark",NA,"No Different than the National Benchmark",NA,0,NA,0,NA
"13025",2018,"HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","BIRMINGHAM","AL","35209","4",5,1943,0.47,0.81,0,0.09,"P",0,0,1,1.34,NA,1.1,0.67,NA,0.4,0.44,67.93,NA,99.9,NA,1.08,"No Different than the National Benchmark",NA,"Better than the National Benchmark","Better than the National Rate",0,NA,1,1
"13027",2016,NA,NA,NA,NA,NA,5,147,0.66,0.71,0,0.01,"N",0,0,1,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13027",2017,NA,NA,NA,NA,NA,5,27,0.66,0.73,0,0.01,"N",0,0,1,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13028",2016,"HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","MONTGOMERY","AL","36116","4",5,1333,0.44,0.77,0,0.08,"P",0,0,1,1.31,0.9,NA,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"13028",2017,"HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","MONTGOMERY","AL","36116","4",5,1222,0.44,0.76,0,0.07,"P",0,0,1,1.31,0.6,NA,0,NA,NA,2.26,NA,90.1,NA,59,NA,"No Different than the National Benchmark",NA,"Worse than the National Benchmark",NA,0,NA,0,NA
"13028",2018,"HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","MONTGOMERY","AL","36116","4",5,1211,0.46,0.75,0,0.08,"P",0,0,1,1.33,NA,1,0,NA,0.3,1.26,68.44,NA,99.9,NA,1.04,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Better than the National Rate",0,NA,0,1
"13029",2016,"HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","HUNTSVILLE","AL","35801","4",5,1245,0.38,0.86,0,0.05,"P",0,0,1,1.27,0.1,NA,NA,12.62,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"13029",2017,"HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","HUNTSVILLE","AL","35801","4",5,1265,0.35,0.87,0,0.04,"P",0,0,1,1.25,0.1,NA,0,NA,NA,0.36,NA,91.6,NA,75,NA,"No Different than the National Benchmark",NA,"Better than the National Benchmark",NA,0,NA,1,NA
"13029",2018,"HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","HUNTSVILLE","AL","35801","4",5,1166,0.33,0.85,0,0.04,"P",0,0,1,1.29,NA,0.2,0,NA,0.7,0.27,71.94,NA,99.8,NA,0.98,"No Different than the National Benchmark",NA,"Better than the National Benchmark","Better than the National Rate",0,NA,1,1
"13030",2016,"HEALTHSOUTH REHABILITATION HOSPITAL","DOTHAN","AL","36301","4",5,1090,0.54,0.72,0,0.12,"P",0,0,1,1.35,0.7,NA,NA,13.45,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"13030",2017,"HEALTHSOUTH REHABILITATION HOSPITAL","DOTHAN","AL","36301","4",5,1128,0.53,0.69,0,0.11,"P",0,0,1,1.4,0.1,NA,0,NA,NA,1.58,NA,87.6,NA,86,NA,"No Different than the National Benchmark",NA,"No Different than the National Benchmark",NA,0,NA,0,NA
"13030",2018,"HEALTHSOUTH REHABILITATION HOSPITAL","DOTHAN","AL","36301","4",5,1212,0.52,0.68,0,0.1,"P",0,0,1,1.36,NA,0.1,0,NA,0,1.51,74.11,NA,99.3,NA,1.04,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Better than the National Rate",0,NA,0,1
"13032",2016,"HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","GADSDEN","AL","35903","4",5,780,0.46,0.75,0,0.05,"P",0,0,1,1.33,0.3,NA,NA,12.32,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"13032",2017,"HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","GADSDEN","AL","35903","4",5,752,0.48,0.73,0,0.05,"P",0,0,1,1.33,0.7,NA,1.99,NA,NA,1.31,NA,93.4,NA,69,NA,"No Different than the National Benchmark",NA,"No Different than the National Benchmark",NA,0,NA,0,NA
"13032",2018,"HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","GADSDEN","AL","35903","4",5,857,0.46,0.72,0,0.05,"P",0,0,1,1.34,NA,0.6,0,NA,0.4,2.24,69.18,NA,99.9,NA,1.07,"No Different than the National Benchmark",NA,"Worse than the National Benchmark","Better than the National Rate",0,NA,0,1
"13033",2016,"REGIONAL REHABILITATION HOSPITAL","PHENIX CITY","AL","36869","4",5,966,0.54,0.83,0,0.07,"P",0,0,1,1.42,1,NA,NA,13.12,NA,NA,NA,NA,NA,NA,NA,NA,"No Different than the National Rate",NA,NA,NA,0,NA,NA
"13033",2017,"REGIONAL REHABILITATION HOSPITAL","PHENIX CITY","AL","36869","4",5,1006,0.52,0.84,0,0.08,"P",0,0,1,1.42,0.5,NA,2.13,NA,NA,0.97,NA,98.4,NA,96,NA,"No Different than the National Benchmark",NA,"No Different than the National Benchmark",NA,0,NA,0,NA
"13033",2018,"REGIONAL REHABILITATION HOSPITAL","PHENIX CITY","AL","36869","4",5,1090,0.48,0.83,0,0.06,"P",0,0,1,1.4,NA,0.4,0,NA,0.2,0.67,70.68,NA,99.8,NA,1.08,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Better than the National Rate",0,NA,0,1
"20001",2016,"PROVIDENCE ALASKA MEDICAL CTR","ANCHORAGE","AK","99519","10",9,99,0.41,1.24,0,0.2,"N",0,0,0,1.11,0.8,NA,NA,12.71,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"20001",2017,"PROVIDENCE ALASKA MEDICAL CTR","ANCHORAGE","AK","99519","10",9,106,0.35,1.33,0,0.14,"N",0,0,0,1.11,0.7,NA,NA,13.49,NA,NA,NA,100,NA,75,NA,NA,"No Different than the National Rate",NA,NA,NA,0,NA,NA
"20001",2018,"PROVIDENCE ALASKA MEDICAL CTR","ANCHORAGE","AK","99519","10",9,94,0.33,1.32,0,0.21,"N",0,0,0,1.27,NA,0.8,NA,NA,0,0.69,70.1,NA,100,NA,0.86,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"20017",2016,"ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK","99508","10",9,76,0.52,1.24,0,0.21,"P",0,0,0,1.29,0.8,NA,NA,12.19,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"20017",2017,"ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK","99508","10",9,104,0.48,1.33,0,0.17,"P",0,0,0,1.15,0,NA,NA,12.53,NA,NA,NA,100,NA,73,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"20017",2018,"ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK","99508","10",9,99,0.45,1.32,0,0.18,"P",0,0,0,1.34,NA,0,NA,NA,0,0.74,73.98,NA,100,NA,0.88,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"30002",2016,"BANNER UNIVERSITY MEDICINE","PHOENIX","AZ","85006","9",8,153,0.38,1.04,0,0.17,"N",0,0,0,1.37,0.3,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"30002",2017,"BANNER UNIVERSITY MEDICINE","PHOENIX","AZ","85006","9",8,149,0.38,1.03,0,0.27,"N",0,0,0,1.38,0.7,NA,0,13.09,NA,2.05,NA,92.1,NA,98,NA,"No Different than the National Benchmark","Better than the National Rate","No Different than the National Benchmark",NA,0,1,0,NA
"30002",2018,"BANNER UNIVERSITY MEDICINE","PHOENIX","AZ","85006","9",8,190,0.36,1.01,0,0.37,"N",0,0,0,1.42,NA,0.2,0.62,NA,0.6,1.2,59.91,NA,99.4,NA,1.01,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Worse than the National Rate",0,NA,0,0
"30010",2016,"CARONDELET ST MARYS HOSPITAL","TUCSON","AZ","85745","9",8,316,0.42,0.86,0,0.11,"N",0,0,0,1.18,0.7,NA,NA,11.98,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"30010",2017,"CARONDELET ST. MARY'S HOSPITAL","TUCSON","AZ","85745","9",8,336,0.41,0.89,0,0.11,"N",0,0,0,1.15,1.9,NA,0,12.23,NA,1.99,NA,93.4,NA,100,NA,"No Different than the National Benchmark","Better than the National Rate","No Different than the National Benchmark",NA,0,1,0,NA
"30010",2018,"CARONDELET ST. MARY'S HOSPITAL","TUCSON","AZ","85745","9",8,303,0.41,0.88,0,0.11,"N",0,0,0,1.17,NA,1.6,0,NA,0.3,0.72,72.47,NA,100,NA,1.01,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Better than the National Rate",0,NA,0,1
"30011",2016,"CARONDELET ST JOSEPHS HOSPITAL","TUCSON","AZ","85711","9",8,316,0.37,0.86,0,0.02,"N",0,0,0,1.07,0.3,NA,NA,12.17,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"30011",2017,"CARONDELET ST JOSEPH'S INPATIENT REHABILITATION","TUCSON","AZ","85711","9",8,274,0.39,0.89,0,0.03,"N",0,0,0,1.08,1.2,NA,0,13.54,NA,3.86,NA,100,NA,97,NA,"No Different than the National Benchmark","No Different than the National Rate","Worse than the National Benchmark",NA,0,0,0,NA
"30011",2018,"CARONDELET ST JOSEPH'S INPATIENT REHABILITATION","TUCSON","AZ","85711","9",8,214,0.39,0.88,0,0.03,"N",0,0,0,1.15,NA,0,0,NA,0.3,1.85,70.14,NA,100,NA,0.92,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Better than the National Rate",0,NA,0,1
"30024",2016,"ST JOSEPHS HOSP","PHOENIX","AZ","85013","9",8,274,0.36,1.04,0,0.14,"N",0,0,0,1.3,1.2,NA,NA,12.51,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"30024",2017,"ST JOSEPHS HOSP","PHOENIX","AZ","85013","9",8,221,0.35,1.03,0,0.21,"N",0,0,0,1.27,0,NA,2.67,13.37,NA,1.71,NA,98,NA,69,NA,"No Different than the National Benchmark","No Different than the National Rate","No Different than the National Benchmark",NA,0,0,0,NA
"30024",2018,"ST JOSEPHS HOSP","PHOENIX","AZ","85013","9",8,237,0.39,1.01,0,0.2,"N",0,0,0,1.24,NA,0,NA,NA,0.3,0.38,71.75,NA,100,NA,0.99,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"30030",2016,"PHOENIX BAPTIST HOSPITAL","PHOENIX","AZ","85015","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30030",2017,"PHOENIX BAPTIST HOSPITAL","PHOENIX","AZ","85015","9",8,26,0.44,1.03,0,0,"P",0,0,0,1.18,0.6,NA,0,13.19,NA,4.35,NA,95,NA,84,NA,"No Different than the National Benchmark","No Different than the National Rate","Worse than the National Benchmark",NA,0,0,0,NA
"30030",2018,"PHOENIX BAPTIST HOSPITAL","PHOENIX","AZ","85015","9",8,83,0.41,1.01,0,0.2,"P",0,0,0,1.35,NA,2.2,NA,NA,0.9,1.11,66.76,NA,100,NA,1.06,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"30037",2016,"ST. LUKES ACUTE REHAB","PHOENIX","AZ","85006","9",8,92,0.32,1.04,0,0.07,"P",0,0,0,1.08,0,NA,NA,12.41,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"30037",2017,"ST. LUKES ACUTE REHAB","PHOENIX","AZ","85006","9",8,84,0.33,1.03,0,0.25,"P",0,0,0,1.04,0,NA,NA,13.97,NA,0,NA,90.7,NA,45,NA,NA,"Worse than the National Rate","No Different than the National Benchmark",NA,NA,0,0,NA
"30037",2018,"ST. LUKES ACUTE REHAB","PHOENIX","AZ","85006","9",8,137,0.26,1.01,0,0.3,"P",0,0,0,1.12,NA,0,NA,NA,0,0.62,64.07,NA,100,NA,1.01,NA,NA,"No Different than the National Benchmark","Worse than the National Rate",NA,NA,0,0
"30038",2016,"SCOTTSDALE HEALTHCARE","SCOTTSDALE","AZ","85251","9",8,151,0.32,1.04,0,0.05,"P",0,0,0,1.19,0,NA,NA,13.37,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"30038",2017,"SCOTTSDALE HEALTHCARE","SCOTTSDALE","AZ","85251","9",8,191,0.35,1.03,0,0.07,"P",0,0,0,1.25,0.4,NA,NA,12.59,NA,3.8,NA,98.3,NA,93,NA,NA,"Better than the National Rate","Worse than the National Benchmark",NA,NA,1,0,NA
"30038",2018,"SCOTTSDALE HEALTHCARE","SCOTTSDALE","AZ","85251","9",8,181,0.29,1.01,0,0.08,"P",0,0,0,1.23,NA,0.3,NA,NA,0,1.77,70.66,NA,100,NA,0.98,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"30055",2016,"KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ","86401","9",8,169,0.67,0.92,0,0.05,"G",0,0,0,1.06,0,NA,NA,13.95,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"30055",2017,"KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ","86401","9",8,154,0.52,0.91,0,0.05,"G",0,0,0,1.04,1.1,NA,NA,13.92,NA,NA,NA,98.1,NA,99,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"30055",2018,"KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ","86401","9",8,173,0.57,0.92,0,0.05,"G",0,0,0,1.05,NA,1,NA,NA,0.4,1.52,61.23,NA,99.6,NA,0.93,NA,NA,"No Different than the National Benchmark","Worse than the National Rate",NA,NA,0,0
"30061",2016,"BANNER BOSWELL MEDICAL CENTER - ACUTE REHABILITATI","SUN CITY","AZ","85351","9",8,205,0.4,1.04,0,0.02,"N",0,0,0,1.3,1.5,NA,NA,13.84,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"30061",2017,"BANNER BOSWELL MEDICAL CENTER - ACUTE REHABILITATI","SUN CITY","AZ","85351","9",8,264,0.36,1.03,0,0.23,"N",0,0,0,1.33,0.3,NA,0.71,12.83,NA,1.81,NA,94.9,NA,84,NA,"No Different than the National Benchmark","Better than the National Rate","No Different than the National Benchmark",NA,0,1,0,NA
"30061",2018,"BANNER BOSWELL MEDICAL CENTER - ACUTE REHABILITATI","SUN CITY","AZ","85351","9",8,219,0.35,1.01,0,0.09,"N",0,0,0,1.42,NA,0,0.73,NA,0,0.41,81.35,NA,99.7,NA,0.95,"No Different than the National Benchmark",NA,"No Different than the National Benchmark","Better than the National Rate",0,NA,0,1
"30085",2016,"NORTHWEST MEDICAL CENTER/CHS","TUCSON","AZ","85741","9",8,154,0.44,0.86,0,0,"P",0,0,0,1.12,0.5,NA,NA,12.65,NA,NA,NA,NA,NA,NA,NA,NA,"Better than the National Rate",NA,NA,NA,1,NA,NA
"30085",2017,"NORTHWEST MEDICAL CENTER/CHS","TUCSON","AZ","85741","9",8,150,0.22,0.89,0,0.02,"P",0,0,0,1.18,0,NA,NA,13.16,NA,0,NA,83.9,NA,59,NA,NA,"Better than the National Rate","No Different than the National Benchmark",NA,NA,1,0,NA
"30085",2018,"NORTHWEST MEDICAL CENTER/CHS","TUCSON","AZ","85741","9",8,172,0.23,0.88,0,0.03,"P",0,0,0,1.22,NA,0,NA,NA,0,0.75,65.17,NA,100,NA,0.96,NA,NA,"No Different than the National Benchmark","No Different than the National Rate",NA,NA,0,0
"30088",2016,"BANNER BAYWOOD MEDICAL CENTER","MESA","AZ","85206","9",8,238,0.34,1.04,0,0.07,"N",0,0,0,1.23,0.9,NA,NA,13.43,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"30088",2017,"BANNER BAYWOOD MEDICAL CENTER","MESA","AZ","85206","9",8,207,0.32,1.03,0,0.08,"N",0,0,0,1.27,0.7,NA,NA,12.89,NA,1.83,NA,98.9,NA,89,NA,NA,"Better than the National Rate","No Different than the National Benchmark",NA,NA,1,0,NA
"30088",2018,"BANNER BAYWOOD MEDICAL CENTER","MESA","AZ","85206","9",8,202,0.32,1.01,0,0.13,"N",0,0,0,1.3,NA,0.2,NA,NA,0,2.1,69.41,NA,99.8,NA,0.95,NA,NA,"No Different than the National Benchmark","Better than the National Rate",NA,NA,0,1
"30093",2016,"DEL E. WEBB MEMORIAL HOSPITAL","SUN CITY WEST","AZ","85375","9",8,237,0.35,1.04,0,0.04,"N",0,0,0,1.27,0.3,NA,NA,13.38,NA,NA,NA,NA,NA,NA,NA,NA,"Worse than the National Rate",NA,NA,NA,0,NA,NA
"30093",2017,"DEL E. WEBB MEMORIAL HOSPITAL","SUN CITY WEST","AZ","85375","9",8,262,0.34,1.03,0,0.05,"N",0,0,0,1.29,0.5,NA,0,12.98,NA,0.8,NA,98.4,NA,97,NA,"No Different than the National Benchmark","Better than the National Rate","No Different than the National Benchmark",NA,0,1,0,NA
