CMS_cert_no,Fac_name,City,State,Zip,Region,year,N,cost_charge,wage_indx,Rural,dis_share,census,ownership,teaching,freestanding,avg_wt,I_001_01,I_001_01.note,I_001_01.denom,I_001_01.start,I_001_01.end,I_001_02,I_001_02.note,I_001_02.denom,I_001_02.numer,I_001_02.obs,I_001_02.start,I_001_02.end,I_002_01.obs,I_002_01.note,I_002_01.denom,I_002_01.numer,I_002_01.start,I_002_01.end,I_006_01,I_006_01.note,I_006_01.cilo,I_006_01.ciup,I_006_01.grade,I_006_01.days,I_006_01.N,I_006_01.numer,I_006_01.start,I_006_01.end,I_007_01,I_007_01.note,I_007_01.grade,I_007_01.cilo,I_007_01.ciup,I_007_01.N,I_007_01.start,I_007_01.end,I_008_01,I_008_01.note,I_008_01.denom,I_008_01.numer,I_008_01.start,I_008_01.end,I_013_01,I_013_01.note,I_013_01.denom,I_013_01.numer,I_013_01.start,I_013_01.end,I_014_01,I_014_01.note,I_014_01.cilo,I_014_01.ciup,I_014_01.grade,I_014_01.days,I_014_01.N,I_014_01.numer,I_014_01.start,I_014_01.end,I_015_01,I_015_01.note,I_015_01.cilo,I_015_01.ciup,I_015_01.grade,I_015_01.days,I_015_01.N,I_015_01.numer,I_015_01.start,I_015_01.end,I_016_01,I_016_01.note,I_016_01.denom,I_016_01.numer,I_016_01.start,I_016_01.end,I_019_01,I_019_01.note,I_019_01.cilo,I_019_01.ciup,I_019_01.obs,I_019_01.grade,I_019_01.numb,I_019_01.N,I_019_01.start,I_019_01.end,I_020_01,I_020_01.note,I_020_01.numb,I_020_01.start,I_020_01.end
10092,NORTHPORT MEDICAL CENTER,TUSCALOOSA,AL,35401,4,2018,462,0.40,0.76,0,0.10,5,G,0.00,0,1.30,,,,,,0.80,,538,6,1.10,1-Oct-16,30-Sep-17,99.40,,324,322,1-Oct-15,31-Mar-16,2.63,,0.96,5.82,No Different than the National Benchmark,1001,2,5,1-Oct-16,30-Sep-17,,,,,,,,,99.60,,559,557,1-Jan-17,31-Dec-17,0.40,,559,2,1-Jan-17,31-Dec-17,,7,,,,10346,0,1,1-Oct-16,30-Sep-17,1.08,,0.34,2.61,No Different than the National Benchmark,10346,4,4,1-Oct-16,30-Sep-17,52.00,,123,64,1-Oct-15,31-Mar-16,56.77,,56.41,57.13,54.76,Worse than the National Rate,397,725,1-Oct-15,30-Sep-17,1.03,,684,1-Oct-15,30-Sep-17
10100,THOMAS HOSPITAL,FAIRHOPE,AL,36532,4,2018,,,,,,,,,,,,,,,,,5,,,,1-Oct-16,30-Sep-17,,5,,,1-Oct-15,31-Mar-16,,5,,,,,,,1-Oct-16,30-Sep-17,,,,,,,,,,5,,,1-Jan-17,31-Dec-17,,5,,,1-Jan-17,31-Dec-17,,5,,,,,,,1-Oct-16,30-Sep-17,,5,,,,,,,1-Oct-16,30-Sep-17,,5,,,1-Oct-15,31-Mar-16,,,,,,,,,1-Oct-15,30-Sep-17,,,,1-Oct-15,30-Sep-17
10104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,4,2016,152,0.26,0.82,0,0.05,5,P,0.00,0,1.24,1.10,,193,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,14.52,,Worse than the National Rate,14.21,14.85,262,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,4,2017,132,0.26,0.82,0,0.02,5,P,0.00,0,1.24,0.00,,300,1-Jan-16,31-Dec-16,,,,,,,,99.30,,149,,1-Oct-15,31-Mar-16,,7,,,,292,1,1,1-Jan-16,31-Dec-16,14.37,,Worse than the National Rate,14.09,14.61,243,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,5028,0,0,1-Jan-16,31-Dec-16,1.26,,0.21,4.16,No Different than the National Benchmark,5028,2,2,1-Jan-16,31-Dec-16,94.00,,96,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,4,2018,228,0.25,0.81,0,0.05,5,P,0.00,0,1.19,,,,,,0.00,,332,0,0.00,1-Oct-16,30-Sep-17,99.30,,149,148,1-Oct-15,31-Mar-16,,7,,,,260,1,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,346,346,1-Jan-17,31-Dec-17,0.30,,346,1,1-Jan-17,31-Dec-17,,7,,,,5230,0,0,1-Oct-16,30-Sep-17,1.49,,0.47,3.59,No Different than the National Benchmark,5230,3,4,1-Oct-16,30-Sep-17,94.00,,96,90,1-Oct-15,31-Mar-16,71.45,,71.01,71.87,70.50,Better than the National Rate,270,383,1-Oct-15,30-Sep-17,1.02,,371,1-Oct-15,30-Sep-17
10113,MOBILE INFIRMARY,MOBILE,AL,36652,4,2016,361,0.45,0.75,0,0.06,5,N,0.00,0,1.34,0.50,,398,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.60,,Worse than the National Rate,13.36,13.81,580,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113,MOBILE INFIRMARY,MOBILE,AL,36652,4,2017,263,0.46,0.73,0,0.06,5,N,0.00,0,1.33,,2,,1-Jan-16,31-Dec-16,,,,,,,,,2,,,1-Oct-15,31-Mar-16,,7,,,,255,1,1,1-Jan-16,31-Dec-16,13.91,,Worse than the National Rate,13.67,14.11,454,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,9092,0,0,1-Jan-16,31-Dec-16,2.24,,0.71,5.40,No Different than the National Benchmark,9092,2,4,1-Jan-16,31-Dec-16,4.00,,1125,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10113,MOBILE INFIRMARY,MOBILE,AL,36652,4,2018,291,0.43,0.75,0,0.07,5,N,0.00,0,1.31,,,,,,,2,,,,1-Oct-16,30-Sep-17,,2,,,1-Oct-15,31-Mar-16,,,,,,,,,1-Oct-16,30-Sep-17,,,,,,,,,,2,,,1-Jan-17,31-Dec-17,,2,,,1-Jan-17,31-Dec-17,,,,,,,,,1-Oct-16,30-Sep-17,,2,,,,,,,1-Oct-16,30-Sep-17,,2,,,1-Oct-15,31-Mar-16,,2,,,,,,,1-Oct-15,30-Sep-17,,2,,1-Oct-15,30-Sep-17
10114,MEDICAL WEST REHAB UNIT,BESSEMER,AL,35022,4,2016,107,0.30,0.82,0,0.07,5,G,0.00,0,1.33,0.00,,228,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,14.04,,Worse than the National Rate,13.75,14.33,158,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,MEDICAL WEST REHAB UNIT,BESSEMER,AL,35022,4,2017,112,0.29,0.82,0,0.09,5,G,0.00,0,1.21,0.40,,200,1-Jan-16,31-Dec-16,,,,,,,,98.40,,125,,1-Oct-15,31-Mar-16,,7,,,,436,1,1,1-Jan-16,31-Dec-16,14.63,,Worse than the National Rate,14.33,14.93,161,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,3866,0,0,1-Jan-16,31-Dec-16,0.00,,,2.94,No Different than the National Benchmark,3866,1,0,1-Jan-16,31-Dec-16,48.00,,33,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,BESSEMER,AL,35022,4,2018,104,0.28,0.81,0,0.20,5,G,0.00,0,1.22,,,,,,0.40,,206,1,0.50,1-Oct-16,30-Sep-17,98.40,,125,123,1-Oct-15,31-Mar-16,,7,,,,388,1,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,199,199,1-Jan-17,31-Dec-17,0.00,,199,0,1-Jan-17,31-Dec-17,,7,,,,3424,0,1,1-Oct-16,30-Sep-17,0.74,,0.04,3.63,No Different than the National Benchmark,3424,1,1,1-Oct-16,30-Sep-17,48.00,,33,16,1-Oct-15,31-Mar-16,67.44,,67.00,67.86,69.80,Better than the National Rate,104,149,1-Oct-15,30-Sep-17,1.03,,145,1-Oct-15,30-Sep-17
10139,AMI BROOKWOOD MEDICAL CENTER,HOMEWOOD,AL,35209,4,2016,267,0.18,0.82,0,0.05,5,P,0.00,0,1.24,0.00,,536,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.39,,Worse than the National Rate,13.17,13.59,360,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139,AMI BROOKWOOD MEDICAL CENTER,HOMEWOOD,AL,35209,4,2017,356,0.17,0.82,0,0.04,5,P,0.00,0,1.24,0.30,,559,1-Jan-16,31-Dec-16,,,,,,,,97.30,,294,,1-Oct-15,31-Mar-16,,7,,,,480,1,1,1-Jan-16,31-Dec-16,14.14,,Worse than the National Rate,13.90,14.34,543,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,9619,0,0,1-Jan-16,31-Dec-16,1.29,,0.41,3.11,No Different than the National Benchmark,9619,3,4,1-Jan-16,31-Dec-16,61.00,,1377,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10139,AMI BROOKWOOD MEDICAL CENTER,HOMEWOOD,AL,35209,4,2018,394,0.17,0.81,0,0.01,5,P,0.00,0,1.24,,,,,,0.20,,601,2,0.30,1-Oct-16,30-Sep-17,97.30,,294,286,1-Oct-15,31-Mar-16,,7,,,,428,1,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,624,624,1-Jan-17,31-Dec-17,0.00,,624,0,1-Jan-17,31-Dec-17,,7,,,,9293,0,0,1-Oct-16,30-Sep-17,0.84,,0.27,2.02,No Different than the National Benchmark,9293,5,4,1-Oct-16,30-Sep-17,61.00,,1377,835,1-Oct-15,31-Mar-16,64.91,,64.51,65.29,63.91,No Different than the National Rate,409,640,1-Oct-15,30-Sep-17,1.01,,623,1-Oct-15,30-Sep-17
10144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,36608,4,2016,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,,2,,,,,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,36608,4,2017,,,,,,,,,,,0.60,,146,1-Jan-16,31-Dec-16,,,,,,,,97.50,3,40,,1-Oct-15,31-Mar-16,,,,,,96,0,0,1-Jan-16,31-Dec-16,,2,,,,,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,2444,0,0,1-Jan-16,31-Dec-16,,7,,,,2444,0,0,1-Jan-16,31-Dec-16,100.00,,16,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,36608,4,2018,74,0.42,0.75,0,0.00,5,P,0.00,0,1.17,,,,,,0.30,,192,1,0.50,1-Oct-16,30-Sep-17,97.50,3,40,39,1-Oct-15,31-Mar-16,,7,,,,162,0,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,191,191,1-Jan-17,31-Dec-17,0.50,,191,1,1-Jan-17,31-Dec-17,,7,,,,3137,0,0,1-Oct-16,30-Sep-17,0.00,,,2.67,No Different than the National Benchmark,3137,1,0,1-Oct-16,30-Sep-17,100.00,,16,16,1-Oct-15,31-Mar-16,64.02,,63.62,64.39,66.67,Worse than the National Rate,104,156,1-Oct-15,30-Sep-17,0.99,,137,1-Oct-15,30-Sep-17
10157,JW SOMMER REHABILITATION UNIT,MUSCLE SHOALS,AL,35661,4,2016,575,0.27,0.76,0,0.05,5,G,0.00,0,1.26,3.80,,604,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,12.86,,No Different than the National Rate,12.66,13.06,860,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157,JW SOMMER REHABILITATION UNIT,MUSCLE SHOALS,AL,35661,4,2017,568,0.29,0.68,0,0.06,5,G,0.00,0,1.29,1.60,,589,1-Jan-16,31-Dec-16,,,,,,,,99.10,,329,,1-Oct-15,31-Mar-16,0.97,,0.05,4.79,No Different than the National Benchmark,714,1,1,1-Jan-16,31-Dec-16,13.68,,Worse than the National Rate,13.46,13.88,891,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,9648,0,0,1-Jan-16,31-Dec-16,1.55,,0.49,3.73,No Different than the National Benchmark,9648,3,4,1-Jan-16,31-Dec-16,93.00,,436,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
10157,JW SOMMER REHABILITATION UNIT,MUSCLE SHOALS,AL,35661,4,2018,589,0.29,0.69,0,0.04,5,G,0.00,0,1.25,,,,,,0.50,,545,4,0.70,1-Oct-16,30-Sep-17,99.10,,329,326,1-Oct-15,31-Mar-16,0.82,,0.04,4.06,No Different than the National Benchmark,841,1,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,534,534,1-Jan-17,31-Dec-17,0.20,,534,1,1-Jan-17,31-Dec-17,,7,,,,9487,0,0,1-Oct-16,30-Sep-17,1.50,,0.55,3.33,No Different than the National Benchmark,9487,3,5,1-Oct-16,30-Sep-17,93.00,,436,405,1-Oct-15,31-Mar-16,61.61,,61.22,61.99,61.61,Worse than the National Rate,552,896,1-Oct-15,30-Sep-17,1.00,,864,1-Oct-15,30-Sep-17
13025,HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,AL,35209,4,2016,1877,0.47,0.82,0,0.05,5,G,0.00,1,1.38,0.60,,2234,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,13.67,,Worse than the National Rate,13.47,13.87,2504,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13025,HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,AL,35209,4,2017,1856,0.48,0.82,0,0.07,5,G,0.00,1,1.33,0.30,,2312,1-Jan-16,31-Dec-16,,,,,,,,78.00,,1239,,1-Oct-15,31-Mar-16,0.60,,0.03,2.95,No Different than the National Benchmark,1293,2,1,1-Jan-16,31-Dec-16,,4,,,,,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,32391,1,0,1-Jan-16,31-Dec-16,1.39,,0.87,2.10,No Different than the National Benchmark,32391,14,20,1-Jan-16,31-Dec-16,73.00,,488,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
13025,HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,AL,35209,4,2018,1943,0.47,0.81,0,0.09,5,P,0.00,1,1.34,,,,,,1.10,,2206,36,1.60,1-Oct-16,30-Sep-17,78.00,,1239,967,1-Oct-15,31-Mar-16,0.67,,0.11,2.21,No Different than the National Benchmark,1935,3,2,1-Oct-16,30-Sep-17,,,,,,,,,99.90,,2196,2194,1-Jan-17,31-Dec-17,0.40,,2196,8,1-Jan-17,31-Dec-17,,7,,,,31736,1,1,1-Oct-16,30-Sep-17,0.44,,0.21,0.84,Better than the National Benchmark,31736,18,8,1-Oct-16,30-Sep-17,73.00,,488,354,1-Oct-15,31-Mar-16,67.93,,67.52,68.32,62.60,Better than the National Rate,1500,2396,1-Oct-15,30-Sep-17,1.08,,2711,1-Oct-15,30-Sep-17
13027,,,,,,2016,147,0.66,0.71,0,0.01,5,N,0.00,1,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13027,,,,,,2017,27,0.66,0.73,0,0.01,5,N,0.00,1,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13028,HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,AL,36116,4,2016,1333,0.44,0.77,0,0.08,5,P,0.00,1,1.31,0.90,,1451,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,14.40,,Worse than the National Rate,14.14,14.63,1829,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13028,HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,AL,36116,4,2017,1222,0.44,0.76,0,0.07,5,P,0.00,1,1.31,0.60,,1443,1-Jan-16,31-Dec-16,,,,,,,,90.10,,780,,1-Oct-15,31-Mar-16,0.00,,,1.22,No Different than the National Benchmark,2267,2,0,1-Jan-16,31-Dec-16,,4,,,,,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,21745,0,1,1-Jan-16,31-Dec-16,2.26,,1.40,3.46,Worse than the National Benchmark,21745,8,19,1-Jan-16,31-Dec-16,59.00,,363,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
13028,HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,AL,36116,4,2018,1211,0.46,0.75,0,0.08,5,P,0.00,1,1.33,,,,,,1.00,,1600,24,1.50,1-Oct-16,30-Sep-17,90.10,,780,703,1-Oct-15,31-Mar-16,0.00,,,1.09,No Different than the National Benchmark,2539,3,0,1-Oct-16,30-Sep-17,,,,,,,,,99.90,,1627,1625,1-Jan-17,31-Dec-17,0.30,,1625,5,1-Jan-17,31-Dec-17,,7,,,,22994,0,1,1-Oct-16,30-Sep-17,1.26,,0.73,2.03,No Different than the National Benchmark,22994,12,15,1-Oct-16,30-Sep-17,59.00,,363,215,1-Oct-15,31-Mar-16,68.44,,67.97,68.91,61.71,Better than the National Rate,1062,1721,1-Oct-15,30-Sep-17,1.04,,1783,1-Oct-15,30-Sep-17
13029,HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL,HUNTSVILLE,AL,35801,4,2016,1245,0.38,0.86,0,0.05,5,P,0.00,1,1.27,0.10,,1395,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,12.62,,Better than the National Rate,12.45,12.80,1948,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13029,HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL,HUNTSVILLE,AL,35801,4,2017,1265,0.35,0.87,0,0.04,5,P,0.00,1,1.25,0.10,,1348,1-Jan-16,31-Dec-16,,,,,,,,91.60,,734,,1-Oct-15,31-Mar-16,0.00,,,2.45,No Different than the National Benchmark,1131,1,0,1-Jan-16,31-Dec-16,,4,,,,,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,24065,0,0,1-Jan-16,31-Dec-16,0.36,,0.09,0.97,Better than the National Benchmark,24065,8,3,1-Jan-16,31-Dec-16,75.00,,294,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
